id,sentence,argument_head,predicate_head,role,label
ewt-train-12,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .",2,6,PRODUCT,0
ewt-train-12,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .",8,10,PRODUCT,0
ewt-train-12,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .",12,10,PRODUCT,0
ewt-train-17,"In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .",1,18,PRODUCT,0
ewt-train-17,"In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .",4,18,PRODUCT,0
ewt-train-17,"In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .",21,18,PRODUCT,0
ewt-train-17,"In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .",25,18,PRODUCT,0
ewt-train-18,"Guerrillas killed an engineer , Asi Ali , from Tikrit .",0,1,PRODUCT,0
ewt-train-18,"Guerrillas killed an engineer , Asi Ali , from Tikrit .",3,1,PRODUCT,0
ewt-train-22,"Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .",0,3,PRODUCT,0
ewt-train-22,"Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .",5,3,PRODUCT,1
ewt-train-27,The Commission said it had no legal grounds for such an exclusion .,1,2,PRODUCT,0
ewt-train-38,Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .,5,6,PRODUCT,0
ewt-train-38,Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .,10,24,PRODUCT,0
ewt-train-39,A team from the court managed to take his deposition before he died .,1,5,PRODUCT,0
ewt-train-39,A team from the court managed to take his deposition before he died .,11,12,PRODUCT,0
ewt-train-46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .",3,2,PRODUCT,0
ewt-train-46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .",15,13,PRODUCT,0
ewt-train-46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .",31,32,PRODUCT,0
ewt-train-46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .",34,33,PRODUCT,0
ewt-train-46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .",41,37,PRODUCT,0
ewt-train-48,"And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .",3,2,PRODUCT,0
ewt-train-48,"And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .",11,14,PRODUCT,0
ewt-train-48,"And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .",21,20,PRODUCT,0
ewt-train-48,"And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .",11,23,PRODUCT,0
ewt-train-52,"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" .",2,1,PRODUCT,0
ewt-train-52,"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" .",30,33,PRODUCT,0
ewt-train-52,"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" .",34,38,PRODUCT,0
ewt-train-56,"I guess it 's just the old new Arab ' Me against my brother , me and my brother against my cousin , me and my cousin against my enemy ' , or ' The enemy of my enemy is my friend ' thing going on again .",0,1,PRODUCT,0
ewt-train-62,Over 300 Iraqis are reported dead and 500 wounded in Fallujah alone .,2,4,PRODUCT,0
ewt-train-62,Over 300 Iraqis are reported dead and 500 wounded in Fallujah alone .,10,4,PRODUCT,0
ewt-train-63,Al - Iraqiyah tv said that ICDC were controlling Ramadi .,3,4,PRODUCT,0
ewt-train-63,Al - Iraqiyah tv said that ICDC were controlling Ramadi .,6,8,PRODUCT,0
ewt-train-63,Al - Iraqiyah tv said that ICDC were controlling Ramadi .,9,8,PRODUCT,0
ewt-train-64,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" .",1,2,PRODUCT,0
ewt-train-64,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" .",4,2,PRODUCT,0
ewt-train-64,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" .",33,34,PRODUCT,0
